variant,kind,seed,fold,target,R2,RMSE,MAE,NRMSE,PearsonR,SpearmanRho,CCC
w/o MFM pre-training,component,42,0,glass_adhesion_kpa,0.7343771457672119,19.90041199837526,14.962554931640625,0.5153861045837402,0.8624064922332764,0.832948956947186,0.8466552062228347
w/o MFM pre-training,component,42,1,glass_adhesion_kpa,0.6785147190093994,19.662969899125265,13.190646171569824,0.566996693611145,0.8294407725334167,0.837628687669235,0.8298796979739106
w/o MFM pre-training,component,42,2,glass_adhesion_kpa,0.6987225413322449,19.098670537725756,14.49683952331543,0.5488874912261963,0.846057653427124,0.8439128079837482,0.8600852146415399
w/o MFM pre-training,component,2024,0,glass_adhesion_kpa,0.769514799118042,17.853529192814285,13.496323585510254,0.4800886809825897,0.8801077008247375,0.8707974437343707,0.8763860652940417
w/o MFM pre-training,component,2024,1,glass_adhesion_kpa,0.7128201723098755,19.494810538690885,13.301648139953613,0.535891592502594,0.8731409907341003,0.8494421985009604,0.8377454998171081
w/o MFM pre-training,component,2024,2,glass_adhesion_kpa,0.6849379539489746,19.40690967955864,14.685949325561523,0.5613039135932922,0.8298509120941162,0.8329373845953122,0.8230601898661802
w/o MC-Dropout,component,42,0,glass_adhesion_kpa,0.7343771457672119,19.90041199837526,14.962554931640625,0.5153861045837402,0.8624064922332764,0.832948956947186,0.8466552062228347
w/o MC-Dropout,component,42,1,glass_adhesion_kpa,0.6785147190093994,19.662969899125265,13.190646171569824,0.566996693611145,0.8294407725334167,0.837628687669235,0.8298796979739106
w/o MC-Dropout,component,42,2,glass_adhesion_kpa,0.6987225413322449,19.098670537725756,14.49683952331543,0.5488874912261963,0.846057653427124,0.8439128079837482,0.8600852146415399
w/o MC-Dropout,component,2024,0,glass_adhesion_kpa,0.769514799118042,17.853529192814285,13.496323585510254,0.4800886809825897,0.8801077008247375,0.8707974437343707,0.8763860652940417
w/o MC-Dropout,component,2024,1,glass_adhesion_kpa,0.7128201723098755,19.494810538690885,13.301648139953613,0.535891592502594,0.8731409907341003,0.8494421985009604,0.8377454998171081
w/o MC-Dropout,component,2024,2,glass_adhesion_kpa,0.6849379539489746,19.40690967955864,14.685949325561523,0.5613039135932922,0.8298509120941162,0.8329373845953122,0.8230601898661802
w/o pretrained transfer,component,42,0,glass_adhesion_kpa,0.7343771457672119,19.90041199837526,14.962554931640625,0.5153861045837402,0.8624064922332764,0.832948956947186,0.8466552062228347
w/o pretrained transfer,component,42,1,glass_adhesion_kpa,0.6785147190093994,19.662969899125265,13.190646171569824,0.566996693611145,0.8294407725334167,0.837628687669235,0.8298796979739106
w/o pretrained transfer,component,42,2,glass_adhesion_kpa,0.6987225413322449,19.098670537725756,14.49683952331543,0.5488874912261963,0.846057653427124,0.8439128079837482,0.8600852146415399
w/o pretrained transfer,component,2024,0,glass_adhesion_kpa,0.769514799118042,17.853529192814285,13.496323585510254,0.4800886809825897,0.8801077008247375,0.8707974437343707,0.8763860652940417
w/o pretrained transfer,component,2024,1,glass_adhesion_kpa,0.7128201723098755,19.494810538690885,13.301648139953613,0.535891592502594,0.8731409907341003,0.8494421985009604,0.8377454998171081
w/o pretrained transfer,component,2024,2,glass_adhesion_kpa,0.6849379539489746,19.40690967955864,14.685949325561523,0.5613039135932922,0.8298509120941162,0.8329373845953122,0.8230601898661802
fusion = film,fusion,42,0,glass_adhesion_kpa,0.605096161365509,24.264706900693493,18.22256851196289,0.628413736820221,0.7799679636955261,0.7809330631817947,0.7781562953056238
fusion = film,fusion,42,1,glass_adhesion_kpa,0.6914153099060059,19.264413169003973,14.548060417175293,0.5555040240287781,0.8334253430366516,0.8402962064622769,0.8417337693539914
fusion = film,fusion,42,2,glass_adhesion_kpa,0.742556095123291,17.654730645358377,13.060861587524414,0.50738924741745,0.8646429777145386,0.8465246808913761,0.8734881248306107
fusion = film,fusion,2024,0,glass_adhesion_kpa,0.7419231534004211,18.891964192088558,13.14539623260498,0.5080126523971558,0.8620206713676453,0.864073353709364,0.8659069141860546
fusion = film,fusion,2024,1,glass_adhesion_kpa,0.6792348623275757,20.60324521474484,14.579991340637207,0.5663612484931946,0.8443141579627991,0.8446352409156453,0.8255418139948624
