tag,model,seed,fold,target,n_test,R2,RMSE,MAE,NRMSE,PearsonR,SpearmanRho,CCC
external_single,ElasticNet,2024,3,glass_adhesion_kpa,25,0.6588941812515259,36.511643316293636,26.2304630279541,0.5840426087379456,0.841059148311615,0.8946153846153846,0.8393582736141616
external_single,KNN,2024,3,glass_adhesion_kpa,25,0.38118887498196397,49.177437957251925,38.4205092934247,0.7866454720497131,0.8522693467133473,0.7953846153846152,0.7926192047031058
external_single,SVR-RBF,2024,3,glass_adhesion_kpa,25,0.6763189577086473,35.566855842383724,28.239236072319123,0.5689297318458557,0.8685909656628888,0.8407692307692308,0.8891270380934312
external_single,RandomForest,2024,3,glass_adhesion_kpa,25,0.5653171023174137,41.216690723490366,32.37261296363672,0.6593048572540283,0.8675812293211165,0.8330769230769232,0.8491952749424568
external_single,HistGB,2024,3,glass_adhesion_kpa,25,0.5749357033684757,40.75812122092481,33.00024136891572,0.6519695520401001,0.8740178714163755,0.8315384615384616,0.8610482388845975
external_single,MLP,2024,3,glass_adhesion_kpa,25,0.639978289604187,37.51035664278267,28.26917266845703,0.6000181436538696,0.8197290897369385,0.8153846153846154,0.8349239397570487
external_single,Mean,2024,4,glass_adhesion_kpa,25,-1.1831295490264893,92.36907436170128,73.41595458984375,1.4775416851043701,,,0.0
external_single,Ridge,2024,4,glass_adhesion_kpa,25,0.670063853263855,35.90887616864823,28.0341854095459,0.5744007229804993,0.8291081786155701,0.8823076923076922,0.8290342862915442
external_single,ElasticNet,2024,4,glass_adhesion_kpa,25,0.6671632528305054,36.066373884760196,28.205162048339844,0.5769200921058655,0.8271610736846924,0.8823076923076922,0.8272795077926411
external_single,KNN,2024,4,glass_adhesion_kpa,25,0.5946571439239292,39.801377623777114,29.4333273193153,0.636665403842926,0.8435075104163837,0.8207692307692308,0.8348041718418829
external_single,SVR-RBF,2024,4,glass_adhesion_kpa,25,0.6837190762640868,35.15793363208648,27.5989040408152,0.5623885989189148,0.8290594856102698,0.8492307692307692,0.8348081968847134
external_single,RandomForest,2024,4,glass_adhesion_kpa,25,0.7088934793187592,33.729725708969156,25.50556574622952,0.5395429134368896,0.8681497257924223,0.8684615384615384,0.8758563824179784
external_single,HistGB,2024,4,glass_adhesion_kpa,25,0.6728596213486658,35.75641084515648,26.164420471609557,0.5719619393348694,0.8395559018258434,0.8166955334763458,0.8537658775518414
external_single,MLP,2024,4,glass_adhesion_kpa,25,0.6133050322532654,38.87506280139622,30.556655883789062,0.6218480467796326,0.8008385896682739,0.7369230769230769,0.8054820536679702
external_single,Mean,7,0,glass_adhesion_kpa,25,-1.0901620388031006,90.38093211858904,71.70993041992188,1.4457393884658813,0.0,0.0,0.0
external_single,Ridge,7,0,glass_adhesion_kpa,25,0.6150275468826294,38.788381948964435,27.060670852661133,0.6204615235328674,0.8286604881286621,0.8923076923076924,0.8206008887338763
external_single,ElasticNet,7,0,glass_adhesion_kpa,25,0.6117118000984192,38.95506632497001,27.220975875854492,0.623127818107605,0.8262327313423157,0.8738461538461537,0.8188491479094743
external_single,KNN,7,0,glass_adhesion_kpa,25,0.29593812096911354,52.45564818510529,42.36803612780022,0.8390839695930481,0.8545600910825729,0.7953846153846152,0.7813599425096752
external_single,SVR-RBF,7,0,glass_adhesion_kpa,25,0.5059914185036509,43.93939666601555,32.63453991474745,0.7028574347496033,0.7811123685642332,0.7769230769230768,0.7997018135432377
external_single,RandomForest,7,0,glass_adhesion_kpa,25,0.4326683901756262,47.08746751032654,36.907193359657214,0.7532141804695129,0.8453563661932608,0.8046153846153845,0.7966093611849976
external_single,HistGB,7,0,glass_adhesion_kpa,25,0.5831413392772,40.36279732302472,30.581173123598987,0.6456459164619446,0.8439073462542634,0.8223076923076923,0.8299399716746043
external_single,MLP,7,0,glass_adhesion_kpa,25,0.502472996711731,44.095592349445056,31.58877944946289,0.7053560018539429,0.761062502861023,0.7384615384615385,0.7684848103814561
external_single,Mean,7,1,glass_adhesion_kpa,25,-1.1075775623321533,90.7566877270623,72.02152252197266,1.4517499208450317,,,0.0
external_single,Ridge,7,1,glass_adhesion_kpa,25,0.6759034395217896,35.589680614061955,27.431617736816406,0.5692948698997498,0.8332983255386353,0.8646153846153846,0.8378000434125613
external_single,ElasticNet,7,1,glass_adhesion_kpa,25,0.6708804368972778,35.86441277249113,27.7669734954834,0.5736895203590393,0.82969069480896,0.8553846153846153,0.8347990300026554
external_single,KNN,7,1,glass_adhesion_kpa,25,0.5842639353569783,40.30841238508972,30.874051439642134,0.6447759866714478,0.8460370275751213,0.8015384615384615,0.8462444343756385
external_single,SVR-RBF,7,1,glass_adhesion_kpa,25,0.6729401614176473,35.75200906345243,26.178504605231282,0.5718914866447449,0.8255489009270494,0.8376923076923077,0.8562713901736932
